Date,Open,High,Low,Close,Adj Close,Volume
2020-06-02,6.115325,6.233381,5.549793,5.889389,5.889389,44193849302
2020-06-03,5.894048,6.455020,5.814571,6.435926,6.435926,42063885739
2020-06-04,6.430285,6.787288,6.377632,6.715764,6.715764,44777270285
2020-06-05,6.719553,6.731802,6.376356,6.456381,6.456381,27030732557
2020-06-06,6.456912,6.587191,6.436296,6.500499,6.500499,17441407946
2020-06-07,6.501228,6.695285,6.273045,6.543957,6.543957,23949835909
2020-06-08,6.547653,6.571022,6.385729,6.517197,6.517197,16048840006
2020-06-09,6.518255,6.524736,6.298049,6.298049,6.298049,16093010309
2020-06-10,6.297122,6.340122,6.035568,6.321566,6.321566,24718885748
2020-06-11,6.322305,6.443942,5.670063,5.725492,5.725492,24445988970
2020-06-12,5.726113,6.125490,5.711006,6.042718,6.042718,18534957417
2020-06-13,6.047194,6.050506,5.892206,6.002740,6.002740,12261771033
2020-06-14,6.008447,6.013751,5.802098,5.829533,5.829533,10833448445
2020-06-15,5.829533,6.064495,5.309978,5.955692,5.955692,25098179584
2020-06-16,5.955246,6.045743,5.878764,6.041505,6.041505,16542100506
2020-06-17,6.042435,6.390341,5.923641,6.373826,6.373826,22510618295
2020-06-18,6.373826,6.439271,6.140350,6.278116,6.278116,18681699225
2020-06-19,6.275468,6.275468,6.017668,6.069890,6.069890,16138743630
2020-06-20,6.069890,6.133965,5.905072,6.049754,6.049754,12752960551
2020-06-21,6.048198,6.171213,5.972374,5.983938,5.983938,11586525564
2020-06-22,5.983673,6.336792,5.981014,6.336792,6.336792,15330142417
2020-06-23,6.321829,6.367756,6.163970,6.272048,6.272048,13918666726
2020-06-24,6.275252,6.583699,6.101508,6.255190,6.255190,22891458166
2020-06-25,6.257665,6.319179,6.023993,6.170921,6.170921,15637573556
2020-06-26,6.174018,6.194786,6.036513,6.092666,6.092666,12355990516
2020-06-27,6.092404,6.143964,5.755940,5.874676,5.874676,11206876286
2020-06-28,5.874676,6.157128,5.766713,6.079235,6.079235,14282465326
2020-06-29,6.079235,6.368245,6.075201,6.333089,6.333089,20810362603
2020-06-30,6.331420,6.413092,6.199619,6.280070,6.280070,15767922135
2020-07-01,6.279760,7.250093,6.234690,7.240224,7.240224,31049584333
2020-07-02,7.311406,7.311406,6.660531,7.064067,7.064067,31163221972
2020-07-03,7.063505,7.575387,6.922652,7.209410,7.209410,33537631630
2020-07-04,7.217932,7.510342,7.179897,7.464380,7.464380,24287316863
2020-07-05,7.465325,7.465325,7.050358,7.334329,7.334329,19575907700
2020-07-06,7.334329,7.877722,7.268847,7.850338,7.850338,25072842915
2020-07-07,7.830613,8.898778,7.692926,8.805205,8.805205,43109826369
2020-07-08,8.800438,10.223096,8.646422,9.735304,9.735304,87013567106
2020-07-09,9.735304,9.735304,8.885304,9.339090,9.339090,49523146230
2020-07-10,9.334373,9.348378,8.351195,8.892497,8.892497,38576868596
2020-07-11,8.894977,9.528412,8.863226,9.415533,9.415533,29569673803
2020-07-12,9.425113,9.611702,9.113471,9.528871,9.528871,25556509660
2020-07-13,9.528871,10.129397,9.188583,9.338034,9.338034,41657529593
2020-07-14,9.346497,10.112725,9.154654,9.940404,9.940404,33850563422
2020-07-15,9.942933,9.945960,9.586602,9.797377,9.797377,21995176986
2020-07-16,9.799480,9.948810,8.992953,9.466921,9.466921,31863432644
2020-07-17,9.470043,9.509504,9.164633,9.173903,9.173903,17375095543
2020-07-18,9.160502,9.310890,8.873980,9.173260,9.173260,16577368339
2020-07-19,9.173751,9.328982,9.078932,9.265697,9.265697,11909513560
2020-07-20,9.266515,9.289679,8.744277,8.814876,8.814876,13177037933
2020-07-21,8.813387,9.272493,8.739273,9.166235,9.166235,15574174343
2020-07-22,9.167446,9.275104,9.010496,9.245847,9.245847,11777434477
2020-07-23,9.249169,9.390352,9.256129,9.264865,9.264865,15089613918
2020-07-24,9.275765,9.287700,9.045519,9.108022,9.108022,14848395295
2020-07-25,9.110841,10.810866,9.110841,10.728805,10.728805,47102073181
2020-07-26,10.683462,11.485528,10.557527,11.072533,11.072533,55554091010
2020-07-27,11.056363,11.157603,9.743898,10.380373,10.380373,55782425388
2020-07-28,10.379674,11.252771,10.145571,11.130082,11.130082,47792527032
2020-07-29,11.133730,11.189825,10.412278,10.465176,10.465176,33810360006
2020-07-30,10.471792,10.639376,10.278389,10.511700,10.511700,19258577350
2020-07-31,10.518043,10.543997,10.232650,10.400091,10.400091,17283264960
2020-08-01,10.400091,10.926943,10.377649,10.757893,10.757893,27160343374
2020-08-02,10.771595,11.021458,9.754648,10.001905,10.001905,31564842589
2020-08-03,10.001383,10.367829,9.933812,10.322841,10.322841,18669535247
